,id,age,gender,afam,asian,hispanic,white,race_other,race_not_say,education,sexuality,english,tw_use,social_media_use,prolific_hours,task_fun,task_interesting,task_boring,task_repetitive,task_important,task_depressing,task_offensive,another_tweettask,another_hatetask,page_history,date_of_first_access,date_of_last_access,duration_sec,version,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10,tw11,tw12,tw13,tw14,tw15,tw16,tw17,tw18,tw19,tw20,tw_duration_1,tw_duration_2,tw_duration_3,tw_duration_4,tw_duration_5,tw_duration_6,tw_duration_7,tw_duration_8,tw_duration_9,tw_duration_10,tw_duration_11,tw_duration_12,tw_duration_13,tw_duration_14,tw_duration_15,tw_duration_16,tw_duration_17,tw_duration_18,tw_duration_19,tw_duration_20,num_approvals,num_rejections,prolific_score,countryofbirth,currentcountryofresidence,employmentstatus,firstlanguage,nationality,studentstatus
10,497,40.0,2,0.0,0.0,0.0,1.0,0,0,2,1,1.0,6,1,30.0,0,0,0,1,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238935,6238936,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238937,6238938,6238955,6238956,6238957,6238958",2022-04-05 10:18:35,2022-04-05 10:31:09,753,C,offensive language,neither,neither,neither,offensive language,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,34400.0,14804.0,34355.0,16066.0,30539.0,43061.0,13860.0,12532.0,10804.0,14449.0,12964.0,11956.0,11916.0,57880.0,7351.0,12593.0,9232.0,13012.0,17208.0,6963.0,1651.0,0.0,100.0,United States,United States,Unemployed (and job seeking),English,United States,No
11,438,49.0,2,0.0,1.0,0.0,0.0,0,0,3,3,1.0,1,1,24.0,1,1,0,0,1,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238932,6238933,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238955,6238956,6238957,6238958",2022-04-05 10:10:22,2022-04-05 10:18:10,468,B,hate speech,neither,hate speech,neither,hate speech,offensive language,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,10032.0,10221.0,7207.0,14685.0,8324.0,11182.0,5011.0,9759.0,7664.0,10860.0,4905.0,6751.0,14901.0,18588.0,12829.0,5359.0,8759.0,6044.0,6674.0,9433.0,1092.0,7.0,99.0,United States,United States,Part-Time,English,United States,No
12,692,66.0,2,0.0,0.0,0.0,1.0,0,0,3,3,1.0,1,1,20.0,0,1,0,0,1,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238940,6238941,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238955,6238956,6238957,6238958",2022-04-05 12:28:27,2022-04-05 12:41:32,785,D,neither,neither,neither,neither,offensive language,neither,offensive language,offensive language,neither,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,27089.0,13778.0,39070.0,26534.0,12425.0,30372.0,14769.0,17934.0,28646.0,19402.0,14351.0,15638.0,53903.0,14688.0,14302.0,26977.0,15031.0,22422.0,25415.0,10015.0,3810.0,1.0,100.0,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No
13,273,58.0,1,0.0,0.0,0.0,1.0,0,0,3,3,1.0,3,1,10.0,0,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238945,6238946,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238955,6238956,6238957,6238958",2022-04-04 16:11:12,2022-04-04 16:18:32,440,E,neither,neither,neither,neither,hate speech,neither,offensive language,offensive language,hate speech,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,8635.0,7054.0,5738.0,33475.0,11788.0,14255.0,9985.0,10878.0,12196.0,11135.0,7481.0,10213.0,14417.0,9786.0,7934.0,8528.0,10471.0,8392.0,15830.0,10036.0,2219.0,2.0,100.0,United States,United States,DATA EXPIRED,English,United States,DATA EXPIRED
14,384,61.0,1,0.0,0.0,0.0,1.0,0,0,3,3,1.0,1,1,10.0,0,0,0,0,1,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238945,6238946,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238949,6238947,6238948,6238949,6238947,6238948,6238949,6238947,6238948,6238949,6238955,6238956,6238957,6238958",2022-04-05 10:07:08,2022-04-05 10:16:36,568,E,hate speech,neither,neither,neither,hate speech,neither,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,16593.0,7624.0,15403.0,6690.0,20988.0,33047.0,19785.0,18885.0,17709.0,17602.0,12617.0,15157.0,16805.0,15810.0,13504.0,16967.0,15532.0,13117.0,38755.0,15280.0,1943.0,6.0,100.0,United States,United States,DATA EXPIRED,English,United States,DATA EXPIRED
15,443,42.0,2,0.0,0.0,0.0,1.0,0,0,4,3,0.0,3,1,40.0,0,0,0,1,1,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238945,6238946,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238947,6238948,6238955,6238956,6238957,6238958",2022-04-05 10:10:44,2022-04-05 10:17:04,380,E,hate speech,neither,neither,neither,hate speech,neither,offensive language,hate speech,neither,hate speech,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,15423.0,5735.0,6491.0,6767.0,10205.0,11514.0,10814.0,10111.0,7321.0,22779.0,9446.0,10525.0,19924.0,13430.0,24922.0,11258.0,13961.0,16868.0,14372.0,6715.0,1229.0,4.0,100.0,Romania,United States,Full-Time,Romanian,United States,No
16,413,47.0,1,0.0,0.0,0.0,1.0,0,0,3,3,1.0,2,2,10.0,1,1,0,0,0,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238932,6238933,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238955,6238956,6238957,6238958",2022-04-05 10:08:15,2022-04-05 10:15:06,411,B,hate speech,hate speech,hate speech,neither,offensive language,hate speech,offensive language,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,42045.0,16072.0,13254.0,10782.0,11394.0,7877.0,5867.0,8358.0,9295.0,9726.0,5988.0,7287.0,15520.0,12652.0,5082.0,6435.0,6585.0,6224.0,6865.0,6109.0,2661.0,8.0,100.0,United States,United States,Full-Time,English,United States,No
17,327,64.0,1,0.0,0.0,0.0,1.0,0,0,5,3,1.0,3,1,10.0,0,1,0,0,1,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238929,6238930,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238955,6238955,6238956,6238957,6238958",2022-04-04 16:15:28,2022-04-04 16:27:17,709,A,hate speech,neither,neither,neither,offensive language,neither,hate speech,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,33234.0,32225.0,21350.0,9894.0,13349.0,21137.0,9693.0,17370.0,10955.0,19697.0,9592.0,12379.0,51769.0,12636.0,21629.0,15128.0,27564.0,11061.0,21133.0,9430.0,2574.0,13.0,99.0,United States,United States,DATA EXPIRED,English,United States,DATA EXPIRED
18,960,43.0,2,0.0,0.0,0.0,1.0,0,0,4,3,1.0,1,1,10.0,0,1,0,1,1,0,1,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238950,6238951,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238952,6238953,6238954,6238955,6238956,6238957,6238958",2022-04-05 16:40:29,2022-04-05 16:44:42,253,F,hate speech,neither,hate speech,neither,hate speech,neither,hate speech,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,neither,hate speech,hate speech,hate speech,hate speech,4724.0,11408.0,6573.0,5705.0,5374.0,9078.0,10428.0,7450.0,6867.0,7832.0,5237.0,5125.0,5929.0,10964.0,4652.0,4241.0,6031.0,4848.0,6223.0,5492.0,3271.0,14.0,99.0,United States,United States,Full-Time,English,United States,No
19,845,32.0,2,0.0,0.0,0.0,1.0,0,0,2,1,1.0,1,1,8.0,0,1,0,0,0,1,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238932,6238933,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238955,6238956,6238957,6238958",2022-04-05 16:14:05,2022-04-05 16:22:45,520,B,hate speech,neither,hate speech,neither,hate speech,neither,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,33647.0,12644.0,14043.0,5690.0,22462.0,29655.0,8298.0,16030.0,12450.0,7924.0,4769.0,3728.0,16743.0,34590.0,6425.0,9843.0,10542.0,7824.0,13022.0,6476.0,2527.0,1.0,100.0,United States,United States,Unemployed (and job seeking),English,United States,No
20,935,40.0,1,0.0,0.0,0.0,1.0,0,0,6,3,1.0,2,2,3.0,0,0,0,1,0,0,1,somewhat,somewhat,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238932,6238933,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238955,6238956,6238957,6238958",2022-04-05 16:30:55,2022-04-05 16:39:07,492,B,neither,neither,neither,neither,hate speech,hate speech,hate speech,offensive language,neither,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,21994.0,7846.0,8188.0,9215.0,6391.0,21861.0,12831.0,9777.0,11124.0,11700.0,10303.0,8346.0,11255.0,8246.0,3994.0,6391.0,9025.0,6873.0,9447.0,8837.0,2782.0,3.0,100.0,United States,United States,Part-Time,English,United States,Yes
21,227,69.0,1,0.0,0.0,0.0,1.0,0,0,4,3,1.0,4,5,60.0,0,0,0,0,0,1,0,somewhat,somewhat,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238929,6238930,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238931,6238955,6238956,6238957,6238958",2022-04-04 16:06:18,2022-04-04 16:13:50,452,A,neither,neither,neither,neither,offensive language,neither,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,offensive language,hate speech,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,24752.0,9424.0,8944.0,9699.0,19136.0,24424.0,9554.0,10526.0,8748.0,11236.0,8463.0,8503.0,10676.0,14449.0,9114.0,16672.0,21712.0,6975.0,7996.0,6484.0,1704.0,0.0,100.0,United States,United States,DATA EXPIRED,English,United States,No
22,361,41.0,2,0.0,1.0,0.0,0.0,0,0,5,3,1.0,2,1,10.0,0,1,0,1,1,1,0,somewhat,somewhat,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238932,6238933,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238934,6238955,6238956,6238957,6238958",2022-04-04 16:29:34,2022-04-04 16:34:29,295,B,neither,neither,,neither,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,offensive language,hate speech,hate speech,offensive language,hate speech,hate speech,hate speech,hate speech,9454.0,8647.0,17486.0,3666.0,4119.0,17431.0,5378.0,9955.0,4386.0,4098.0,4568.0,4137.0,4749.0,6278.0,3810.0,10188.0,6210.0,4498.0,3881.0,4799.0,2410.0,2.0,100.0,United States,United States,DATA EXPIRED,English,United States,DATA EXPIRED
23,679,27.0,2,0.0,0.0,0.0,1.0,0,0,4,3,1.0,2,1,10.0,1,1,0,0,1,0,0,very,very,"6238913,6238914,6238915,6238916,6238917,6238918,6238919,6238920,6238921,6238922,6238923,6238924,6238925,6238926,6238927,6238928,6238940,6238941,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238942,6238943,6238955,6238956,6238957,6238958",2022-04-05 12:30:44,2022-04-05 12:38:56,492,D,neither,neither,neither,neither,hate speech,neither,neither,offensive language,neither,neither,neither,neither,neither,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,hate speech,31919.0,7354.0,9545.0,5832.0,4758.0,10669.0,8550.0,13151.0,7522.0,19399.0,5454.0,165678.0,23372.0,7953.0,3292.0,3246.0,7956.0,4209.0,6609.0,10060.0,4227.0,9.0,100.0,United States,United States,Full-Time,English,United States,Yes
